BTMS0066 B124 Btern01 BT28 BTMS0062 BTMS0073 BT10 BL11 BT30 B96 BTMS0081

02_Qu_1_153	148/148	0/0	130/138	178/178	289/289	123/123	149/161	0/0	190/190	238/238	307/310
02_W1_1_133	136/148	0/0	136/138	178/178	289/291	123/123	149/153	0/0	190/190	238/238	307/310
02_W1_10_142	136/148	0/0	136/138	178/178	289/291	123/123	149/153	0/0	190/190	238/238	307/310
02_W1_2_134	136/148	0/0	130/136	178/178	289/291	123/123	153/161	0/0	190/190	238/238	307/310
02_W1_3_135	136/148	0/0	130/136	178/178	289/291	123/123	153/161	0/0	190/190	238/238	310/310
02_W1_4_136	136/148	0/0	136/138	178/178	289/291	123/123	149/153	0/0	190/190	238/238	307/310
02_W1_5_137	136/148	0/0	130/136	178/178	289/291	123/123	0/0	0/0	0/0	238/238	307/310
02_W1_6_138	136/148	0/0	130/136	178/178	289/291	123/123	153/161	0/0	190/190	238/238	310/310
02_W1_7_139	136/148	0/0	136/138	178/178	289/291	123/123	153/161	0/0	190/190	238/238	307/310
02_W1_8_140	136/148	0/0	136/138	178/178	289/291	123/123	153/161	0/0	190/190	238/238	307/310
02_W1_9_141	136/148	0/0	136/138	178/178	289/291	123/123	153/161	0/0	190/190	238/238	310/310
02_W2_1_143	136/148	0/0	136/138	178/178	289/291	123/123	153/161	0/0	190/190	238/238	310/310
02_W2_10_152	136/148	0/0	130/136	178/178	289/291	123/123	149/153	0/0	190/190	238/238	307/310
02_W2_2_144	136/148	0/0	130/136	178/178	289/291	123/123	149/153	0/0	190/190	238/238	310/310
02_W2_3_145	136/148	0/0	136/138	178/178	289/291	123/123	149/153	0/0	190/190	238/238	307/310
02_W2_4_146	145/145	0/0	130/136	178/178	261/267	123/126	157/167	0/0	190/190	240/240	307/310
02_W2_5_147	136/145	0/0	130/136	178/178	261/267	123/126	151/167	0/0	190/190	238/240	307/310
02_W2_6_148	136/148	0/0	136/138	178/178	289/291	123/123	149/153	0/0	190/190	238/238	307/310
02_W2_7_149	136/148	0/0	136/138	178/178	289/291	123/123	0/0	0/0	0/0	238/238	310/310
02_W2_8_150	136/148	0/0	130/136	178/178	289/291	123/123	153/161	0/0	190/190	238/238	310/310
02_W2_9_151	136/148	0/0	130/136	178/178	0/0	123/123	0/0	0/0	190/190	238/238	310/310
02_WR_1_25	136/148	259/263	130/136	178/178	289/291	123/123	153/161	132/132	190/190	238/238	307/310
02_WR_10_34	136/148	259/263	130/136	178/178	289/291	123/123	149/153	0/0	190/190	238/238	310/310
02_WR_11_23	136/148	259/263	136/138	178/178	289/291	123/123	153/161	130/132	190/190	238/238	307/310
02_WR_12_24	136/148	259/263	130/136	178/178	289/291	123/123	149/153	130/132	190/190	238/238	307/310
02_WR_2_26	136/148	263/265	130/136	178/178	289/291	123/123	153/161	130/132	190/190	238/238	307/310
02_WR_3_27	136/148	263/265	136/138	178/178	289/291	123/123	153/161	130/132	190/190	238/238	310/310
02_WR_4_28	136/148	259/263	130/136	178/178	289/291	123/123	153/161	132/132	190/190	238/238	307/310
02_WR_5_29	136/148	259/263	130/136	178/178	289/291	123/123	153/161	132/132	190/190	238/238	307/310
02_WR_6_30	136/148	263/265	136/138	178/178	289/291	123/123	149/153	0/0	190/190	238/238	310/310
02_WR_7_31	136/148	259/263	136/138	178/178	289/291	123/123	149/153	130/132	190/190	238/238	307/310
02_WR_8_32	136/148	259/263	136/138	178/178	289/291	123/123	153/161	130/132	190/190	238/238	307/310
02_WR_9_33	136/148	259/263	136/138	178/178	289/291	123/123	149/153	132/132	190/190	238/238	310/310
